experiment_id,seed,customers,vehicles,capacity_pressure,capacity,shots,repeat,backend,num_sweeps,protocol_version,frozen_git_commit,explicit_instance_id,selected_customer_ids_in_qubit_order,logical_qasm_sha256,threshold_sha256,protocol_config_sha256,execution_index,instance_id,repeat_index,backend_requested,task_key,config_hash,source,decision,shots_requested,shots_received,unique_bitstrings,qualified_unique,raw_feasible_rate,quality_hit_rate,near_quality_hit_rate,random_quality_hit_rate,quality_hit_gain,quality_lift,classical_reach_all_rate,classical_reach_feasible_rate,strict_improvement_rate,best_gap,conclusion,task_id,warnings,run_id,git_commit_actual,backend_actual,backend_queue_snapshot_before_submit,status,customer_demands,vehicle_capacity,threshold,threshold_all,threshold_method,energy_tolerance,exact_optimum_energy,random_median_energy,claim_scope,top_bitstring,top_bitstring_count,top_bitstring_energy,top_bitstring_meets_quality_threshold,quantum_best_bitstring,quantum_best_energy,quantum_best_count
qrf_formal_hardware_matrix_v2,2026,4,2,medium,6,1024,1,Baihua,40,formal-matrix-v2,6f417d6c3c3e8a16132cd3a472567f9090edab85,seed2026_c4_v2_medium,"[3, 4, 1, 2]",31310d3f5a6294b3503d6b7bef06cc21db56cac73338ea514ef88006329bdc17,0f43c81d0d6d4d3f9a07dba6b1a16f6201967cd2e39563069662310cdc630afb,6150452c7d9072344d3addf3979a5e6227ca858991e9a16cab787be2f13ce01b,1,seed2026_c4_v2_medium,1,Baihua,1bf6eba632664c7613696f5da5be98d5681870d95a9c48dc56f9be51af187260,1bf6eba632664c7613696f5da5be98d5681870d95a9c48dc56f9be51af187260,hardware,PASS,1024,1024,16,6,0.2587890625,0.2587890625,0.2587890625,0.375,-0.1162109375,0.6901041666666666,0.0537109375,0.0537109375,0.0,0.0,At least one sample reached the prespecified low-energy feasible region; superiority to random was not established.,2608020032220735213,[],qrf_formal_hardware_matrix_v2,9082b74ee2d22ffdd1103f62e3af9ceca18af740,Baihua,"{'Dongling': 0, 'Baihua': 0, 'Shenglian': 0}",completed,"{'1': 2, '2': 1, '3': 4, '4': 3}",6,-0.18208246942526785,-0.18208246942526785,"same-budget best classical energies, stored separately for all and raw-feasible candidates",1e-09,-0.18208246942526785,54.265099966467346,Results describe candidate quality and same-budget complementarity only; they do not establish universal quantum or speed advantage.,0000,240,779.2130623708881,False,1001,-0.18208246942526785,36
qrf_formal_hardware_matrix_v2,2027,4,2,tight,6,1024,1,Shenglian,40,formal-matrix-v2,6f417d6c3c3e8a16132cd3a472567f9090edab85,seed2027_c4_v2_tight,"[4, 2, 3, 1]",ae0b0cd8c2d5f9492c0ae33b01e41dc4929ceb32f9730db0d263376b9c432e5e,0f43c81d0d6d4d3f9a07dba6b1a16f6201967cd2e39563069662310cdc630afb,6150452c7d9072344d3addf3979a5e6227ca858991e9a16cab787be2f13ce01b,2,seed2027_c4_v2_tight,1,Shenglian,224aff4146aa3a629fe2093f7677df79ebb37e015eda3edb74f754364faebb74,224aff4146aa3a629fe2093f7677df79ebb37e015eda3edb74f754364faebb74,hardware,PASS,1024,1024,16,2,0.06640625,0.06640625,0.06640625,0.125,-0.05859375,0.53125,0.06640625,0.06640625,0.0,0.0,At least one sample reached the prespecified low-energy feasible region; superiority to random was not established.,2608020035387167015,[],qrf_formal_hardware_matrix_v2,9082b74ee2d22ffdd1103f62e3af9ceca18af740,Shenglian,"{'Dongling': 0, 'Baihua': 0, 'Shenglian': 0}",completed,"{'1': 1, '2': 3, '3': 3, '4': 4}",6,0.394513299763787,0.394513299763787,"same-budget best classical energies, stored separately for all and raw-feasible candidates",1e-09,0.394513299763787,122.36092417016289,Results describe candidate quality and same-budget complementarity only; they do not establish universal quantum or speed advantage.,0010,163,194.64752700069585,False,0110,0.394513299763787,39
qrf_formal_hardware_matrix_v2,2026,6,2,medium,9,1024,1,Dongling,40,formal-matrix-v2,6f417d6c3c3e8a16132cd3a472567f9090edab85,seed2026_c6_v2_medium,"[3, 4, 6, 1, 2, 5]",66be66f9b8f9dabb1c6cb01570c585d1f776866559ca992217f6bbee4d211eeb,0f43c81d0d6d4d3f9a07dba6b1a16f6201967cd2e39563069662310cdc630afb,6150452c7d9072344d3addf3979a5e6227ca858991e9a16cab787be2f13ce01b,3,seed2026_c6_v2_medium,1,Dongling,be5c69662202f208e389bcb835a3c60b911cf7280d91cf67193ac99fa45b5ea9,be5c69662202f208e389bcb835a3c60b911cf7280d91cf67193ac99fa45b5ea9,hardware,PASS,1024,1024,64,8,0.5087890625,0.0966796875,0.296875,0.125,-0.0283203125,0.7734375,0.029296875,0.029296875,0.0,0.0,At least one sample reached the prespecified low-energy feasible region; superiority to random was not established.,2608020035573093702,[],qrf_formal_hardware_matrix_v2,9082b74ee2d22ffdd1103f62e3af9ceca18af740,Dongling,"{'Dongling': 0, 'Baihua': 0, 'Shenglian': 0}",completed,"{'1': 2, '2': 1, '3': 4, '4': 3, '5': 1, '6': 3}",9,-1.7959211040904393,-1.7959211040904393,"same-budget best classical energies, stored separately for all and raw-feasible candidates",1e-09,-1.7959211040904393,8.864317970026718,Results describe candidate quality and same-budget complementarity only; they do not establish universal quantum or speed advantage.,000100,43,216.83019653952806,False,010110,-1.7959211040904393,16
qrf_formal_hardware_matrix_v2,2027,6,2,tight,8,1024,1,Baihua,40,formal-matrix-v2,6f417d6c3c3e8a16132cd3a472567f9090edab85,seed2027_c6_v2_tight,"[4, 2, 3, 5, 1, 6]",b4de2c04ddbde194c87fe6839e932295d6623238b01d32dfba45763bce83b756,0f43c81d0d6d4d3f9a07dba6b1a16f6201967cd2e39563069662310cdc630afb,6150452c7d9072344d3addf3979a5e6227ca858991e9a16cab787be2f13ce01b,4,seed2027_c6_v2_tight,1,Baihua,25af38ed7354c72d3d844a7380222c1d4d1f259937748c0bafce152b22823331,25af38ed7354c72d3d844a7380222c1d4d1f259937748c0bafce152b22823331,hardware,PASS,1024,1024,64,18,0.1748046875,0.1748046875,0.1748046875,0.28125,-0.1064453125,0.6215277777777778,0.0283203125,0.0283203125,0.0,0.0,At least one sample reached the prespecified low-energy feasible region; superiority to random was not established.,2608020036161889350,[],qrf_formal_hardware_matrix_v2,9082b74ee2d22ffdd1103f62e3af9ceca18af740,Baihua,"{'Dongling': 0, 'Baihua': 0, 'Shenglian': 0}",completed,"{'1': 1, '2': 3, '3': 3, '4': 4, '5': 3, '6': 1}",8,-0.697452024772474,-0.697452024772474,"same-budget best classical energies, stored separately for all and raw-feasible candidates",1e-09,-0.697452024772474,194.1763779093978,Results describe candidate quality and same-budget complementarity only; they do not establish universal quantum or speed advantage.,000000,88,2337.920668441713,False,000011,-0.697452024772474,17
qrf_formal_hardware_matrix_v2,2026,4,2,medium,6,1024,1,Dongling,40,formal-matrix-v2,6f417d6c3c3e8a16132cd3a472567f9090edab85,seed2026_c4_v2_medium,"[3, 4, 1, 2]",31310d3f5a6294b3503d6b7bef06cc21db56cac73338ea514ef88006329bdc17,0f43c81d0d6d4d3f9a07dba6b1a16f6201967cd2e39563069662310cdc630afb,6150452c7d9072344d3addf3979a5e6227ca858991e9a16cab787be2f13ce01b,5,seed2026_c4_v2_medium,1,Dongling,75417fe10b0315d8a1bd5fbc2472e0737094274255b362e54e8cceac2fc6eeac,75417fe10b0315d8a1bd5fbc2472e0737094274255b362e54e8cceac2fc6eeac,hardware,PASS,1024,1024,16,6,0.2890625,0.2890625,0.2890625,0.375,-0.0859375,0.7708333333333334,0.0546875,0.0546875,0.0,0.0,At least one sample reached the prespecified low-energy feasible region; superiority to random was not established.,2608020037098703942,[],qrf_formal_hardware_matrix_v2,9082b74ee2d22ffdd1103f62e3af9ceca18af740,Dongling,"{'Dongling': 0, 'Baihua': 0, 'Shenglian': 0}",completed,"{'1': 2, '2': 1, '3': 4, '4': 3}",6,-0.18208246942526785,-0.18208246942526785,"same-budget best classical energies, stored separately for all and raw-feasible candidates",1e-09,-0.18208246942526785,54.265099966467346,Results describe candidate quality and same-budget complementarity only; they do not establish universal quantum or speed advantage.,0000,185,779.2130623708881,False,1001,-0.18208246942526785,29
qrf_formal_hardware_matrix_v2,2027,4,2,tight,6,1024,1,Baihua,40,formal-matrix-v2,6f417d6c3c3e8a16132cd3a472567f9090edab85,seed2027_c4_v2_tight,"[4, 2, 3, 1]",ae0b0cd8c2d5f9492c0ae33b01e41dc4929ceb32f9730db0d263376b9c432e5e,0f43c81d0d6d4d3f9a07dba6b1a16f6201967cd2e39563069662310cdc630afb,6150452c7d9072344d3addf3979a5e6227ca858991e9a16cab787be2f13ce01b,6,seed2027_c4_v2_tight,1,Baihua,164da253ee6e8d31867401165e551a097ad9e0ab72ed07953848ff3ea9d82ad1,164da253ee6e8d31867401165e551a097ad9e0ab72ed07953848ff3ea9d82ad1,hardware,PASS,1024,1024,16,2,0.0634765625,0.0634765625,0.0634765625,0.125,-0.0615234375,0.5078125,0.0634765625,0.0634765625,0.0,0.0,At least one sample reached the prespecified low-energy feasible region; superiority to random was not established.,2608020037262690867,[],qrf_formal_hardware_matrix_v2,9082b74ee2d22ffdd1103f62e3af9ceca18af740,Baihua,"{'Dongling': 1, 'Baihua': 0, 'Shenglian': 0}",completed,"{'1': 1, '2': 3, '3': 3, '4': 4}",6,0.394513299763787,0.394513299763787,"same-budget best classical energies, stored separately for all and raw-feasible candidates",1e-09,0.394513299763787,122.36092417016289,Results describe candidate quality and same-budget complementarity only; they do not establish universal quantum or speed advantage.,0000,189,1196.7864590378604,False,1001,0.394513299763787,43
qrf_formal_hardware_matrix_v2,2026,6,2,medium,9,1024,1,Shenglian,40,formal-matrix-v2,6f417d6c3c3e8a16132cd3a472567f9090edab85,seed2026_c6_v2_medium,"[3, 4, 6, 1, 2, 5]",66be66f9b8f9dabb1c6cb01570c585d1f776866559ca992217f6bbee4d211eeb,0f43c81d0d6d4d3f9a07dba6b1a16f6201967cd2e39563069662310cdc630afb,6150452c7d9072344d3addf3979a5e6227ca858991e9a16cab787be2f13ce01b,7,seed2026_c6_v2_medium,1,Shenglian,20ec9465b326d88c3b5bccb1efd626d2c476b080e75f54df74f686bbb3bacaf5,20ec9465b326d88c3b5bccb1efd626d2c476b080e75f54df74f686bbb3bacaf5,hardware,PASS,1024,1024,64,8,0.37109375,0.1103515625,0.2548828125,0.125,-0.0146484375,0.8828125,0.05859375,0.05859375,0.0,0.0,At least one sample reached the prespecified low-energy feasible region; superiority to random was not established.,2608020037456281068,[],qrf_formal_hardware_matrix_v2,9082b74ee2d22ffdd1103f62e3af9ceca18af740,Shenglian,"{'Dongling': 0, 'Baihua': 0, 'Shenglian': 0}",completed,"{'1': 2, '2': 1, '3': 4, '4': 3, '5': 1, '6': 3}",9,-1.7959211040904393,-1.7959211040904393,"same-budget best classical energies, stored separately for all and raw-feasible candidates",1e-09,-1.7959211040904393,8.864317970026718,Results describe candidate quality and same-budget complementarity only; they do not establish universal quantum or speed advantage.,111111,90,1240.1052598950482,False,101001,-1.7959211040904393,41
qrf_formal_hardware_matrix_v2,2027,6,2,tight,8,1024,1,Shenglian,40,formal-matrix-v2,6f417d6c3c3e8a16132cd3a472567f9090edab85,seed2027_c6_v2_tight,"[4, 2, 3, 5, 1, 6]",b4de2c04ddbde194c87fe6839e932295d6623238b01d32dfba45763bce83b756,0f43c81d0d6d4d3f9a07dba6b1a16f6201967cd2e39563069662310cdc630afb,6150452c7d9072344d3addf3979a5e6227ca858991e9a16cab787be2f13ce01b,8,seed2027_c6_v2_tight,1,Shenglian,7441052f56b5a455d156b2adbc4ed25d477e4e1e6e716f0be06581000182488b,7441052f56b5a455d156b2adbc4ed25d477e4e1e6e716f0be06581000182488b,hardware,PASS,1024,1024,64,18,0.1796875,0.1796875,0.1796875,0.28125,-0.1015625,0.6388888888888888,0.03515625,0.03515625,0.0,0.0,At least one sample reached the prespecified low-energy feasible region; superiority to random was not established.,2608020038033582912,[],qrf_formal_hardware_matrix_v2,9082b74ee2d22ffdd1103f62e3af9ceca18af740,Shenglian,"{'Dongling': 0, 'Baihua': 0, 'Shenglian': 0}",completed,"{'1': 1, '2': 3, '3': 3, '4': 4, '5': 3, '6': 1}",8,-0.697452024772474,-0.697452024772474,"same-budget best classical energies, stored separately for all and raw-feasible candidates",1e-09,-0.697452024772474,194.1763779093978,Results describe candidate quality and same-budget complementarity only; they do not establish universal quantum or speed advantage.,111111,63,2337.920668441713,False,111100,-0.697452024772474,24
qrf_formal_hardware_matrix_v2,2026,4,2,medium,6,1024,1,Shenglian,40,formal-matrix-v2,6f417d6c3c3e8a16132cd3a472567f9090edab85,seed2026_c4_v2_medium,"[3, 4, 1, 2]",31310d3f5a6294b3503d6b7bef06cc21db56cac73338ea514ef88006329bdc17,0f43c81d0d6d4d3f9a07dba6b1a16f6201967cd2e39563069662310cdc630afb,6150452c7d9072344d3addf3979a5e6227ca858991e9a16cab787be2f13ce01b,9,seed2026_c4_v2_medium,1,Shenglian,10984da3de5e0e69cd56a47920865dff4967c27323c743f2197364e756f58697,10984da3de5e0e69cd56a47920865dff4967c27323c743f2197364e756f58697,hardware,PASS,1024,1024,16,6,0.2568359375,0.2568359375,0.2568359375,0.375,-0.1181640625,0.6848958333333334,0.0625,0.0625,0.0,0.0,At least one sample reached the prespecified low-energy feasible region; superiority to random was not established.,2608020038368682694,[],qrf_formal_hardware_matrix_v2,9082b74ee2d22ffdd1103f62e3af9ceca18af740,Shenglian,"{'Dongling': 0, 'Baihua': 0, 'Shenglian': 0}",completed,"{'1': 2, '2': 1, '3': 4, '4': 3}",6,-0.18208246942526785,-0.18208246942526785,"same-budget best classical energies, stored separately for all and raw-feasible candidates",1e-09,-0.18208246942526785,54.265099966467346,Results describe candidate quality and same-budget complementarity only; they do not establish universal quantum or speed advantage.,0010,183,54.09541431515527,False,1001,-0.18208246942526785,40
qrf_formal_hardware_matrix_v2,2027,4,2,tight,6,1024,1,Dongling,40,formal-matrix-v2,6f417d6c3c3e8a16132cd3a472567f9090edab85,seed2027_c4_v2_tight,"[4, 2, 3, 1]",ae0b0cd8c2d5f9492c0ae33b01e41dc4929ceb32f9730db0d263376b9c432e5e,0f43c81d0d6d4d3f9a07dba6b1a16f6201967cd2e39563069662310cdc630afb,6150452c7d9072344d3addf3979a5e6227ca858991e9a16cab787be2f13ce01b,10,seed2027_c4_v2_tight,1,Dongling,0c706d30175a11fddbba84781fd3909aa9304c49a5e44d19f68936c23ac94465,0c706d30175a11fddbba84781fd3909aa9304c49a5e44d19f68936c23ac94465,hardware,PASS,1024,1024,16,2,0.052734375,0.052734375,0.052734375,0.125,-0.072265625,0.421875,0.052734375,0.052734375,0.0,0.0,At least one sample reached the prespecified low-energy feasible region; superiority to random was not established.,2608020038518531868,[],qrf_formal_hardware_matrix_v2,9082b74ee2d22ffdd1103f62e3af9ceca18af740,Dongling,"{'Dongling': 0, 'Baihua': 0, 'Shenglian': 3}",completed,"{'1': 1, '2': 3, '3': 3, '4': 4}",6,0.394513299763787,0.394513299763787,"same-budget best classical energies, stored separately for all and raw-feasible candidates",1e-09,0.394513299763787,122.36092417016289,Results describe candidate quality and same-budget complementarity only; they do not establish universal quantum or speed advantage.,0000,135,1196.7864590378604,False,1001,0.394513299763787,28
